fid,dim,seed,S_min,stall,eta,err,feeds,cfg
4,10,2036,0.02,5,0.2,55.58053581332672,0,S0.02_st5_e0.2
4,10,2037,0.02,5,0.2,28.34429576949492,0,S0.02_st5_e0.2
4,10,2038,0.02,5,0.2,40.609986555095134,0,S0.02_st5_e0.2
4,10,2039,0.02,5,0.2,43.458713372172724,0,S0.02_st5_e0.2
4,10,2040,0.02,5,0.2,59.72084022730576,0,S0.02_st5_e0.2
4,10,2041,0.02,5,0.2,22.06153438836691,0,S0.02_st5_e0.2
4,10,2042,0.02,5,0.2,52.6517797368424,0,S0.02_st5_e0.2
4,10,2043,0.02,5,0.2,41.681898344894876,0,S0.02_st5_e0.2
4,10,2044,0.02,5,0.2,43.705476314097496,0,S0.02_st5_e0.2
4,10,2045,0.02,5,0.2,34.304712823007776,0,S0.02_st5_e0.2
4,10,2046,0.02,5,0.2,40.87776639750825,0,S0.02_st5_e0.2
4,10,2047,0.02,5,0.2,44.189251023657675,0,S0.02_st5_e0.2
4,10,2048,0.02,5,0.2,59.29719981041126,0,S0.02_st5_e0.2
4,10,2049,0.02,5,0.2,48.35341578413443,0,S0.02_st5_e0.2
4,10,2050,0.02,5,0.2,38.692330041473724,0,S0.02_st5_e0.2
4,10,2051,0.02,5,0.2,33.728342455289976,0,S0.02_st5_e0.2
4,10,2052,0.02,5,0.2,46.52275308541766,0,S0.02_st5_e0.2
4,10,2053,0.02,5,0.2,34.114782078964026,0,S0.02_st5_e0.2
4,10,2054,0.02,5,0.2,22.0319797407318,0,S0.02_st5_e0.2
4,10,2055,0.02,5,0.2,56.07981886441905,0,S0.02_st5_e0.2
5,10,2026,0.02,5,0.2,1.1368683772161603e-13,9,S0.02_st5_e0.2
5,10,2027,0.02,5,0.2,0.0,13,S0.02_st5_e0.2
5,10,2028,0.02,5,0.2,1.1368683772161603e-13,12,S0.02_st5_e0.2
5,10,2029,0.02,5,0.2,0.08952825041649248,9,S0.02_st5_e0.2
5,10,2030,0.02,5,0.2,1.1368683772161603e-13,13,S0.02_st5_e0.2
5,10,2031,0.02,5,0.2,1.1368683772161603e-13,10,S0.02_st5_e0.2
5,10,2032,0.02,5,0.2,1.1368683772161603e-13,9,S0.02_st5_e0.2
5,10,2033,0.02,5,0.2,1.1368683772161603e-13,10,S0.02_st5_e0.2
5,10,2034,0.02,5,0.2,0.0,14,S0.02_st5_e0.2
5,10,2035,0.02,5,0.2,1.1368683772161603e-13,11,S0.02_st5_e0.2
5,10,2036,0.02,5,0.2,1.1368683772161603e-13,12,S0.02_st5_e0.2
5,10,2037,0.02,5,0.2,1.1368683772161603e-13,9,S0.02_st5_e0.2
5,10,2038,0.02,5,0.2,0.0,13,S0.02_st5_e0.2
5,10,2039,0.02,5,0.2,2.2737367544323206e-13,10,S0.02_st5_e0.2
5,10,2040,0.02,5,0.2,0.08952825041649248,12,S0.02_st5_e0.2
5,10,2041,0.02,5,0.2,1.1368683772161603e-13,10,S0.02_st5_e0.2
5,10,2042,0.02,5,0.2,1.1368683772161603e-13,10,S0.02_st5_e0.2
5,10,2043,0.02,5,0.2,1.1368683772161603e-13,12,S0.02_st5_e0.2
5,10,2044,0.02,5,0.2,0.0,12,S0.02_st5_e0.2
5,10,2045,0.02,5,0.2,1.0231815394945443e-12,2,S0.02_st5_e0.2
5,10,2046,0.02,5,0.2,1.1368683772161603e-13,10,S0.02_st5_e0.2
5,10,2047,0.02,5,0.2,2.2737367544323206e-13,12,S0.02_st5_e0.2
5,10,2048,0.02,5,0.2,1.1368683772161603e-13,9,S0.02_st5_e0.2
5,10,2049,0.02,5,0.2,2.2737367544323206e-13,12,S0.02_st5_e0.2
5,10,2050,0.02,5,0.2,0.0,12,S0.02_st5_e0.2
5,10,2051,0.02,5,0.2,1.1368683772161603e-13,13,S0.02_st5_e0.2
5,10,2052,0.02,5,0.2,1.1368683772161603e-13,11,S0.02_st5_e0.2
5,10,2053,0.02,5,0.2,4.547473508864641e-13,13,S0.02_st5_e0.2
5,10,2054,0.02,5,0.2,4.547473508864641e-13,11,S0.02_st5_e0.2
5,10,2055,0.02,5,0.2,0.0,9,S0.02_st5_e0.2
6,10,2026,0.02,5,0.2,389.01448047840404,0,S0.02_st5_e0.2
6,10,2027,0.02,5,0.2,1859.4184475360535,0,S0.02_st5_e0.2
6,10,2028,0.02,5,0.2,892.9420506252577,0,S0.02_st5_e0.2
6,10,2029,0.02,5,0.2,1665.5554313163834,0,S0.02_st5_e0.2
6,10,2030,0.02,5,0.2,134.6072458655583,0,S0.02_st5_e0.2
6,10,2031,0.02,5,0.2,5237.408274958641,0,S0.02_st5_e0.2
6,10,2032,0.02,5,0.2,547.273972422392,0,S0.02_st5_e0.2
6,10,2033,0.02,5,0.2,2591.464091562002,0,S0.02_st5_e0.2
6,10,2034,0.02,5,0.2,20845.358431486624,0,S0.02_st5_e0.2
6,10,2035,0.02,5,0.2,2635.332559951541,0,S0.02_st5_e0.2
6,10,2036,0.02,5,0.2,9478.634734234278,0,S0.02_st5_e0.2
6,10,2037,0.02,5,0.2,646.2060431384707,0,S0.02_st5_e0.2
6,10,2038,0.02,5,0.2,1502.857749678532,0,S0.02_st5_e0.2
6,10,2039,0.02,5,0.2,1335.2645832381531,0,S0.02_st5_e0.2
