function,dim,variant,seed,err,nfe,feeds,c1_acc,c2_acc
F22022,10,KE-EAO,1007,4.006541110806779,14970,0,2110,1871
F22022,10,KE-EAO,1008,8.916101927781483,15024,9,1249,1260
F22022,10,KE-EAO,1009,6.641491245462078,14970,0,167,2993
F22022,10,KE-EAO,1010,8.916101927781426,14982,2,1976,1766
F22022,10,KE-EAO,1011,4.007874155181355,14970,0,2217,2144
F22022,10,KE-EAO,1012,3.9892729341558493,14970,0,2444,2230
F22022,10,KE-EAO,1013,8.916101927781312,15000,5,724,1896
F22022,10,KE-EAO,1014,4.41416986512661,14970,0,129,1783
F22022,10,KE-EAO,1015,3.9873381875630685,14970,0,2189,2083
F22022,10,KE-EAO,1016,8.916101927781426,14982,2,2190,1730
F22022,10,KE-EAO,1017,3.9878388325377045,14970,0,931,2037
F22022,10,KE-EAO,1018,5.257366811538418,14970,0,108,2214
F22022,10,KE-EAO,1019,4.035024335315995,14970,0,153,2665
F22022,10,KE-EAO,1020,3.993322319682818,14970,0,1803,2258
F22022,10,KE-EAO,1021,8.91610192778137,15018,8,1023,1223
F22022,10,KE-EAO,1022,0.00025490751716006343,14970,0,2182,2157
F22022,10,KE-EAO,1023,3.994218195181759,14970,0,2353,2041
F22022,10,KE-EAO,1024,3.9866376150607152,14970,0,2115,2235
F22022,10,KE-EAO,1025,3.988203119839511,14970,0,2303,2028
F22022,10,KE-EAO,1026,8.916102624943505,14970,0,125,2036
F22022,10,KE-EAO,1027,3.986833951246922,14970,0,2067,2380
F22022,10,KE-EAO,1028,6.546767637339315,14970,0,175,3225
F22022,10,KE-EAO,1029,8.916101927781426,15024,9,1210,1220
F32022,10,EAO,1000,1.1368683772161603e-13,14970,0,33,2743
F32022,10,EAO,1001,0.0,14970,0,33,2351
F32022,10,EAO,1002,2.2737367544323206e-13,14970,0,27,2599
F32022,10,EAO,1003,1.1368683772161603e-13,14970,0,29,3431
F32022,10,EAO,1004,4.547473508864641e-13,14970,0,29,2802
F32022,10,EAO,1005,2.2737367544323206e-13,14970,0,26,3154
F32022,10,EAO,1006,1.0231815394945443e-12,14970,0,28,3043
F32022,10,EAO,1007,5.684341886080801e-13,14970,0,31,3089
F32022,10,EAO,1008,6.821210263296962e-13,14970,0,45,3650
F32022,10,EAO,1009,1.1368683772161603e-13,14970,0,41,2823
F32022,10,EAO,1010,1.2846612662542611e-11,14970,0,30,3514
F32022,10,EAO,1011,6.821210263296962e-13,14970,0,34,2581
F32022,10,EAO,1012,2.2737367544323206e-13,14970,0,24,2510
F32022,10,EAO,1013,9.094947017729282e-13,14970,0,35,2773
F32022,10,EAO,1014,4.547473508864641e-13,14970,0,39,2624
F32022,10,EAO,1015,1.1368683772161603e-13,14970,0,40,2813
F32022,10,EAO,1016,5.684341886080801e-13,14970,0,24,3120
F32022,10,EAO,1017,3.410605131648481e-13,14970,0,50,3237
F32022,10,EAO,1018,9.094947017729282e-13,14970,0,28,3679
F32022,10,EAO,1019,1.1368683772161603e-13,14970,0,29,3102
F32022,10,EAO,1020,4.547473508864641e-13,14970,0,38,3744
F32022,10,EAO,1021,5.684341886080801e-13,14970,0,32,3206
F32022,10,EAO,1022,3.410605131648481e-12,14970,0,30,3813
F32022,10,EAO,1023,3.410605131648481e-13,14970,0,29,2815
F32022,10,EAO,1024,2.2737367544323206e-13,14970,0,36,2950
F32022,10,EAO,1025,1.1368683772161603e-13,14970,0,44,2843
F32022,10,EAO,1026,4.547473508864641e-13,14970,0,36,2667
F32022,10,EAO,1027,3.410605131648481e-13,14970,0,39,2651
F32022,10,EAO,1028,5.684341886080801e-13,14970,0,28,3535
F32022,10,EAO,1029,4.547473508864641e-13,14970,0,32,3180
F32022,10,EAO+M2,1000,1.1368683772161603e-13,14970,0,1033,695
F32022,10,EAO+M2,1001,0.0,14970,0,1082,702
F32022,10,EAO+M2,1002,0.0,14970,0,1094,677
