t,AF,S,fed,variant
397,0.6360334084508547,0.05722444555792049,0,KE-EAO
398,0.6360320104086821,0.057224791148082405,0,KE-EAO
399,0.6360251010970667,0.05722649912324537,0,KE-EAO
400,0.6360270621337683,0.057226014353093935,0,KE-EAO
401,0.6360224579498626,0.05722715251649648,0,KE-EAO
402,0.6360226517437266,0.057227104609936325,0,KE-EAO
403,0.6360201782303956,0.05722771607377435,0,KE-EAO
404,0.6360197097373146,0.05722783188794802,0,KE-EAO
405,0.6360170165799476,0.05722849765518808,0,KE-EAO
406,0.6360174261895366,0.057228396396484055,0,KE-EAO
407,0.6360170708756046,0.05722848423286818,0,KE-EAO
408,0.6360164752638646,0.057228631472970797,0,KE-EAO
409,0.6360195733108462,0.0572278656133847,0,KE-EAO
410,0.6360213197961031,0.05722743387290571,0,KE-EAO
411,0.6360203970101392,0.05722766199022677,0,KE-EAO
412,0.6360192481402431,0.057227945997555506,0,KE-EAO
413,0.6360186000929309,0.057228106199077575,0,KE-EAO
414,0.6360224396032554,0.057227157051847125,0,KE-EAO
415,0.6360291657873212,0.057225494331243514,0,KE-EAO
416,0.6371235577497548,0.056955426908382095,0,KE-EAO
417,0.6371249599083482,0.056955081487288194,0,KE-EAO
418,0.6371261782500988,0.0569547813506194,0,KE-EAO
419,0.6371307570079785,0.056953653390724224,0,KE-EAO
420,0.6371307334611723,0.05695365919135048,0,KE-EAO
421,0.637130387271164,0.05695374447340526,0,KE-EAO
422,0.6371319044363677,0.05695337072856836,0,KE-EAO
423,0.6371331535516306,0.05695306301761368,0,KE-EAO
424,0.6371333993550707,0.05695300246576867,0,KE-EAO
425,0.6371316568084686,0.05695343173014161,0,KE-EAO
426,0.6371290924901722,0.05695406343659075,0,KE-EAO
427,0.6371289578592254,0.056954096602363426,0,KE-EAO
428,0.637129423027195,0.056953982010232225,0,KE-EAO
429,0.6371295352561381,0.0569539543631392,0,KE-EAO
430,0.6372069980927597,0.05693487406653178,0,KE-EAO
431,0.6372066242312617,0.05693496614326932,0,KE-EAO
432,0.6376147904588699,0.05683450493366593,0,KE-EAO
433,0.6376156158615007,0.05683430190913241,0,KE-EAO
434,0.6376164738015664,0.05683409088191336,0,KE-EAO
435,0.6376161098765987,0.056834180396341555,0,KE-EAO
436,0.6376154115757418,0.056834352157313084,0,KE-EAO
437,0.6376159215638743,0.05683422671556097,0,KE-EAO
438,0.6379783932714664,0.056745120296650804,0,KE-EAO
439,0.63797778858421,0.056745268862601624,0,KE-EAO
440,0.6378641409100845,0.05677319602466311,0,KE-EAO
441,0.6378641409100845,0.05677319602466311,0,KE-EAO
442,0.6383741860871853,0.056647938120641055,0,KE-EAO
443,0.6383748029887562,0.05664778674192334,0,KE-EAO
444,0.6383816989849094,0.056646094584180566,0,KE-EAO
445,0.6384191985902411,0.056636893471907264,0,KE-EAO
446,0.6384173544047032,0.056637345946282606,0,KE-EAO
447,0.6384173544047032,0.056637345946282606,0,KE-EAO
448,0.6384170477665103,0.056637421180790924,0,KE-EAO
449,0.6385181718533754,0.05661261403060467,0,KE-EAO
450,0.6385158514337099,0.05661318317385877,0,KE-EAO
451,0.638646368203514,0.05658117696855602,0,KE-EAO
452,0.6386450302155614,0.05658150501264696,0,KE-EAO
453,0.6386429374661153,0.05658201810977629,0,KE-EAO
454,0.6386420565487926,0.05658223409275263,0,KE-EAO
455,0.6386246389907582,0.05658650464541056,0,KE-EAO
456,0.6395870926016162,0.05635087255003075,0,KE-EAO
457,0.6395941677725961,0.05634914300149529,0,KE-EAO
458,0.6395930329073403,0.056349420420418,0,KE-EAO
459,0.6395930329073403,0.056349420420418,0,KE-EAO
460,0.6395930329073403,0.056349420420418,0,KE-EAO
461,0.6395937773300229,0.05634923844545344,0,KE-EAO
462,0.6398496202733348,0.05628672242906296,0,KE-EAO
463,0.6398530565888694,0.05628588309495864,0,KE-EAO
464,0.6398552865016884,0.05628533843446822,0,KE-EAO
465,0.6398560217220604,0.05628515885631195,0,KE-EAO
466,0.639927598505339,0.05626767814603905,0,KE-EAO
467,0.639847250420138,0.056287301280638094,0,KE-EAO
468,0.6398477492162595,0.05628717944618637,0,KE-EAO
469,0.6398471675981744,0.0562873215105021,0,KE-EAO
470,0.63984703601974,0.0562873536494977,0,KE-EAO
471,0.6398466127895805,0.056287457026651354,0,KE-EAO
472,0.6398473398173924,0.05628727944471763,0,KE-EAO
473,0.6398469439347549,0.05628737614193715,0,KE-EAO
474,0.6398459386400226,0.05628762169304009,0,KE-EAO
475,0.6398471207095782,0.056287332963383375,0,KE-EAO
476,0.639847419461061,0.056287259991185556,0,KE-EAO
477,0.6398475774870789,0.056287221392221976,0,KE-EAO
