function,dim,variant,seed,err,nfe,feeds,c1_acc,c2_acc
F32022,10,M1a_Km0.3,1004,2.2737367544323206e-13,,,,
F32022,10,M1a_Km0.3,1005,2.2737367544323206e-13,,,,
F32022,10,M1a_Km0.3,1006,2.2737367544323206e-13,,,,
F32022,10,M1a_Km0.3,1007,5.684341886080801e-13,,,,
F32022,10,M1a_Km0.3,1008,9.094947017729282e-13,,,,
F32022,10,M1a_Km0.3,1009,5.684341886080801e-13,,,,
F32022,10,M1a_Km0.3,1010,1.4779288903810084e-12,,,,
F32022,10,M1a_Km0.3,1011,1.1368683772161603e-13,,,,
F32022,10,M1a_Km0.3,1012,4.547473508864641e-13,,,,
F32022,10,M1a_Km0.3,1013,3.410605131648481e-13,,,,
F32022,10,M1a_Km0.3,1014,3.410605131648481e-13,,,,
F32022,10,M1a_Km0.3,1015,3.410605131648481e-13,,,,
F32022,10,M1a_Km0.3,1016,2.2737367544323206e-13,,,,
F32022,10,M1a_Km0.3,1017,4.547473508864641e-13,,,,
F32022,10,M1a_Km0.3,1018,5.684341886080801e-13,,,,
F32022,10,M1a_Km0.3,1019,1.1368683772161603e-13,,,,
F32022,10,M1a_Km0.3,1020,3.410605131648481e-13,,,,
F32022,10,M1a_Km0.3,1021,2.2737367544323206e-13,,,,
F32022,10,M1a_Km0.3,1022,2.2737367544323206e-13,,,,
F32022,10,M1a_Km0.3,1023,2.2737367544323206e-13,,,,
F32022,10,M1a_Km0.3,1024,3.410605131648481e-13,,,,
F32022,10,M1a_Km0.3,1025,4.547473508864641e-13,,,,
F32022,10,M1a_Km0.3,1026,5.684341886080801e-13,,,,
F32022,10,M1a_Km0.3,1027,3.410605131648481e-13,,,,
F32022,10,M1a_Km0.3,1028,1.1368683772161603e-13,,,,
F32022,10,M1a_Km0.3,1029,1.1368683772161603e-13,,,,
F32022,10,M1a_Km1.0,1000,1.1368683772161603e-13,,,,
F32022,10,M1a_Km1.0,1001,7.958078640513122e-13,,,,
F32022,10,M1a_Km1.0,1002,7.958078640513122e-13,,,,
F32022,10,M1a_Km1.0,1003,2.2737367544323206e-13,,,,
F32022,10,M1a_Km1.0,1004,3.410605131648481e-13,,,,
F32022,10,M1a_Km1.0,1005,4.547473508864641e-13,,,,
F32022,10,M1a_Km1.0,1006,3.410605131648481e-13,,,,
F32022,10,M1a_Km1.0,1007,2.2737367544323206e-13,,,,
F32022,10,M1a_Km1.0,1008,3.410605131648481e-13,,,,
F32022,10,M1a_Km1.0,1009,2.2737367544323206e-13,,,,
F32022,10,M1a_Km1.0,1010,1.1368683772161603e-13,,,,
F32022,10,M1a_Km1.0,1011,3.410605131648481e-13,,,,
F32022,10,M1a_Km1.0,1012,3.410605131648481e-13,,,,
F32022,10,M1a_Km1.0,1013,3.410605131648481e-13,,,,
F32022,10,M1a_Km1.0,1014,2.2737367544323206e-13,,,,
F32022,10,M1a_Km1.0,1015,1.1368683772161603e-13,,,,
F32022,10,M1a_Km1.0,1016,1.1368683772161603e-13,,,,
F32022,10,M1a_Km1.0,1017,2.2737367544323206e-13,,,,
F32022,10,M1a_Km1.0,1018,5.684341886080801e-13,,,,
F32022,10,M1a_Km1.0,1019,1.1368683772161603e-13,,,,
F32022,10,M1a_Km1.0,1020,3.410605131648481e-13,,,,
F32022,10,M1a_Km1.0,1021,1.1368683772161603e-13,,,,
F32022,10,M1a_Km1.0,1022,4.547473508864641e-13,,,,
F32022,10,M1a_Km1.0,1023,1.1368683772161603e-13,,,,
F32022,10,M1a_Km1.0,1024,2.2737367544323206e-13,,,,
F32022,10,M1a_Km1.0,1025,2.2737367544323206e-13,,,,
F32022,10,M1a_Km1.0,1026,7.958078640513122e-13,,,,
F32022,10,M1a_Km1.0,1027,2.2737367544323206e-13,,,,
F32022,10,M1a_Km1.0,1028,0.0,,,,
F32022,10,M1a_Km1.0,1029,1.1368683772161603e-13,,,,
F32022,10,M1a_Km3.0,1000,9.094947017729282e-12,,,,
F32022,10,M1a_Km3.0,1001,3.410605131648481e-13,,,,
F32022,10,M1a_Km3.0,1002,4.547473508864641e-13,,,,
F32022,10,M1a_Km3.0,1003,2.2737367544323206e-13,,,,
F32022,10,M1a_Km3.0,1004,5.684341886080801e-13,,,,
F32022,10,M1a_Km3.0,1005,1.1368683772161603e-13,,,,
F32022,10,M1a_Km3.0,1006,4.547473508864641e-13,,,,
F32022,10,M1a_Km3.0,1007,2.2737367544323206e-13,,,,
F32022,10,M1a_Km3.0,1008,2.2737367544323206e-13,,,,
F32022,10,M1a_Km3.0,1009,1.1368683772161603e-13,,,,
F32022,10,M1a_Km3.0,1010,2.2737367544323206e-13,,,,
F32022,10,M1a_Km3.0,1011,1.1368683772161603e-13,,,,
F32022,10,M1a_Km3.0,1012,1.4779288903810084e-12,,,,
F32022,10,M1a_Km3.0,1013,1.1368683772161603e-13,,,,
F32022,10,M1a_Km3.0,1014,1.1368683772161603e-13,,,,
F32022,10,M1a_Km3.0,1015,2.2737367544323206e-13,,,,
F32022,10,M1a_Km3.0,1016,2.2737367544323206e-13,,,,
F32022,10,M1a_Km3.0,1017,4.547473508864641e-13,,,,
F32022,10,M1a_Km3.0,1018,5.684341886080801e-13,,,,
F32022,10,M1a_Km3.0,1019,1.1368683772161603e-13,,,,
