function,dim,variant,seed,err,iters,c1_acc,c2_acc
F32022,10,paper2|orig,1018,0.0,249,44,2581
F32022,10,paper2|orig,1019,0.0,249,36,2755
F32022,10,paper2|orig,1020,0.0,249,44,2693
F32022,10,paper2|orig,1021,0.0,249,42,2618
F32022,10,paper2|orig,1022,0.0,249,43,2716
F32022,10,paper2|orig,1023,1.1368683772161603e-13,249,39,2600
F32022,10,paper2|orig,1024,1.1368683772161603e-13,249,35,2577
F32022,10,paper2|orig,1025,0.0,249,52,2621
F32022,10,paper2|orig,1026,0.0,249,32,2565
F32022,10,paper2|orig,1027,1.1368683772161603e-13,249,30,2594
F32022,10,paper2|orig,1028,0.0,249,36,2606
F32022,10,paper2|orig,1029,0.0,249,27,2598
F32022,10,paper2|centroid,1000,0.0,248,1797,1253
F32022,10,paper2|centroid,1001,1.1368683772161603e-13,248,1974,1287
F32022,10,paper2|centroid,1002,1.1368683772161603e-13,248,1755,1235
F32022,10,paper2|centroid,1003,1.1368683772161603e-13,248,1807,1203
F32022,10,paper2|centroid,1004,0.0,248,1829,1171
F32022,10,paper2|centroid,1005,0.0,248,1805,1220
F32022,10,paper2|centroid,1006,0.0,248,1760,1187
F32022,10,paper2|centroid,1007,0.0,248,1756,1243
F32022,10,paper2|centroid,1008,1.1368683772161603e-13,248,1828,1283
F32022,10,paper2|centroid,1009,0.0,248,1804,1199
F32022,10,paper2|centroid,1010,0.0,248,1723,1295
F32022,10,paper2|centroid,1011,0.0,248,1714,1203
F32022,10,paper2|centroid,1012,1.1368683772161603e-13,248,1735,1275
F32022,10,paper2|centroid,1013,2.2737367544323206e-13,248,1850,1226
F32022,10,paper2|centroid,1014,0.0,248,1816,1252
F32022,10,paper2|centroid,1015,0.0,248,1730,1278
F32022,10,paper2|centroid,1016,0.0,248,1742,1246
F32022,10,paper2|centroid,1017,1.1368683772161603e-13,248,1838,1212
F32022,10,paper2|centroid,1018,1.1368683772161603e-13,248,1761,1220
F32022,10,paper2|centroid,1019,0.0,248,1861,1246
F32022,10,paper2|centroid,1020,0.0,248,1805,1266
F32022,10,paper2|centroid,1021,0.0,248,1780,1184
F32022,10,paper2|centroid,1022,2.2737367544323206e-13,248,1779,1219
F32022,10,paper2|centroid,1023,0.0,248,1803,1268
F32022,10,paper2|centroid,1024,0.0,248,1890,1240
F32022,10,paper2|centroid,1025,0.0,248,1837,1251
F32022,10,paper2|centroid,1026,1.1368683772161603e-13,248,1776,1204
F32022,10,paper2|centroid,1027,0.0,248,1749,1192
F32022,10,paper2|centroid,1028,0.0,248,1828,1282
F32022,10,paper2|centroid,1029,1.1368683772161603e-13,248,1748,1292
