function,dim,variant,seed,err
F12022,10,RS-EAO(centroid),1023,5.684341886080802e-14
F12022,10,RS-EAO(centroid),1024,1.1368683772161603e-13
F12022,10,RS-EAO(centroid),1025,0.0
F12022,10,RS-EAO(centroid),1026,0.0
F12022,10,RS-EAO(centroid),1027,5.684341886080802e-14
F12022,10,RS-EAO(centroid),1028,0.0
F12022,10,RS-EAO(centroid),1029,5.684341886080802e-14
F12022,10,RS-EAO(sched),1000,0.0
F12022,10,RS-EAO(sched),1001,5.684341886080802e-14
F12022,10,RS-EAO(sched),1002,0.0
F12022,10,RS-EAO(sched),1003,5.684341886080802e-14
F12022,10,RS-EAO(sched),1004,0.0
F12022,10,RS-EAO(sched),1005,0.0
F12022,10,RS-EAO(sched),1006,0.0
F12022,10,RS-EAO(sched),1007,0.0
F12022,10,RS-EAO(sched),1008,0.0
F12022,10,RS-EAO(sched),1009,5.684341886080802e-14
F12022,10,RS-EAO(sched),1010,0.0
F12022,10,RS-EAO(sched),1011,5.684341886080802e-14
F12022,10,RS-EAO(sched),1012,1.7053025658242404e-13
F12022,10,RS-EAO(sched),1013,5.684341886080802e-14
F12022,10,RS-EAO(sched),1014,5.684341886080802e-14
F12022,10,RS-EAO(sched),1015,0.0
F12022,10,RS-EAO(sched),1016,5.684341886080802e-14
F12022,10,RS-EAO(sched),1017,5.684341886080802e-14
F12022,10,RS-EAO(sched),1018,1.1368683772161603e-13
F12022,10,RS-EAO(sched),1019,5.684341886080802e-14
F12022,10,RS-EAO(sched),1020,0.0
F12022,10,RS-EAO(sched),1021,5.684341886080802e-14
F12022,10,RS-EAO(sched),1022,5.684341886080802e-14
F12022,10,RS-EAO(sched),1023,0.0
F12022,10,RS-EAO(sched),1024,5.684341886080802e-14
F12022,10,RS-EAO(sched),1025,5.684341886080802e-14
F12022,10,RS-EAO(sched),1026,1.1368683772161603e-13
F12022,10,RS-EAO(sched),1027,1.1368683772161603e-13
F12022,10,RS-EAO(sched),1028,5.684341886080802e-14
F12022,10,RS-EAO(sched),1029,5.684341886080802e-14
F22022,10,EAO,1000,8.916101932685706
F22022,10,EAO,1001,7.318467181768199
F22022,10,EAO,1002,0.03809663122831353
F22022,10,EAO,1003,4.1808551983608595
F22022,10,EAO,1004,8.916101929009585
F22022,10,EAO,1005,8.916101927781597
F22022,10,EAO,1006,4.75215263577428
F22022,10,EAO,1007,0.3124776734682655
F22022,10,EAO,1008,0.07204719681226379
F22022,10,EAO,1009,5.1535537086046475
F22022,10,EAO,1010,0.37507727594908147
F22022,10,EAO,1011,5.709920617631212
F22022,10,EAO,1012,5.517586307255783
F22022,10,EAO,1013,8.916101942321006
F22022,10,EAO,1014,0.4826732952620887
F22022,10,EAO,1015,8.916101928277499
F22022,10,EAO,1016,6.515707591265482
F22022,10,EAO,1017,0.0010184859187347683
F22022,10,EAO,1018,8.916101928133287
F22022,10,EAO,1019,0.0001869277530772706
F22022,10,EAO,1020,8.916101928843034
F22022,10,EAO,1021,4.105806604546274
F22022,10,EAO,1022,8.916101930816865
F22022,10,EAO,1023,0.3272839252639983
F22022,10,EAO,1024,5.1060124258222
F22022,10,EAO,1025,8.916101928319279
F22022,10,EAO,1026,5.328108795528465
F22022,10,EAO,1027,5.860052430414953
F22022,10,EAO,1028,0.4424956271584506
F22022,10,EAO,1029,8.916101942827368
F22022,10,RS-EAO(centroid),1000,8.916101927781483
F22022,10,RS-EAO(centroid),1001,3.986579152720253
F22022,10,RS-EAO(centroid),1002,4.3589506617536244e-06
F22022,10,RS-EAO(centroid),1003,4.03218331327696
F22022,10,RS-EAO(centroid),1004,3.9943250469269174
F22022,10,RS-EAO(centroid),1005,3.9870835246076126
F22022,10,RS-EAO(centroid),1006,3.9866998734567005
F22022,10,RS-EAO(centroid),1007,8.916101927781312
F22022,10,RS-EAO(centroid),1008,8.91610192778137
F22022,10,RS-EAO(centroid),1009,8.916101927781312
F22022,10,RS-EAO(centroid),1010,8.916101927781483
F22022,10,RS-EAO(centroid),1011,8.91610192867438
F22022,10,RS-EAO(centroid),1012,3.9865800035348684
F22022,10,RS-EAO(centroid),1013,8.91610192778137
F22022,10,RS-EAO(centroid),1014,5.157743601933021
F22022,10,RS-EAO(centroid),1015,4.065596495252919
F22022,10,RS-EAO(centroid),1016,8.916101927781426
F22022,10,RS-EAO(centroid),1017,3.9866192471999398
F22022,10,RS-EAO(centroid),1018,3.9865791139849875
F22022,10,RS-EAO(centroid),1019,8.916101927781426
F22022,10,RS-EAO(centroid),1020,3.9866899878985578
F22022,10,RS-EAO(centroid),1021,4.418247565053093
F22022,10,RS-EAO(centroid),1022,6.796938123443397e-08
F22022,10,RS-EAO(centroid),1023,1.7492466497515125e-05
