alg,problem,seed,f,viol,nfe,x
EAO,spring,2044,0.013025992749198877,0.0,15030,"[0.056267, 0.477177, 6.622317]"
EAO,spring,2045,0.012665334327912389,0.0,15030,"[0.051764, 0.358514, 11.184408]"
EAO,spring,2046,0.0025000000000000005,0.8655465929060793,15030,"[0.05, 0.25, 2.0]"
EAO,spring,2047,0.012674928668795788,0.0,15030,"[0.052422, 0.374614, 10.312052]"
EAO,spring,2048,0.013148581534995658,0.0,15030,"[0.057004, 0.498563, 6.116218]"
EAO,spring,2049,0.012665694074600676,0.0,15030,"[0.051847, 0.36054, 11.068377]"
EAO,spring,2050,0.012667546982027354,0.0,15030,"[0.052046, 0.365358, 10.799853]"
EAO,spring,2051,0.012665240091254621,0.0,15030,"[0.051709, 0.357197, 11.2609]"
EAO,spring,2052,0.01266525457745377,0.0,15030,"[0.051655, 0.355889, 11.337744]"
EAO,spring,2053,0.012669066190351005,0.0,15030,"[0.051233, 0.345834, 11.956759]"
EAO,spring,2054,0.01266701148701647,0.0,15030,"[0.052002, 0.364298, 10.85804]"
EAO,spring,2055,0.010625000000000002,0.22810820034357193,15030,"[0.05, 0.25, 15.0]"
RS-EAO,spring,2026,0.012668359170441951,0.0,15030,"[0.051277, 0.346881, 11.88985]"
RS-EAO,spring,2027,0.01266523346856762,0.0,15030,"[0.051683, 0.356572, 11.297538]"
RS-EAO,spring,2028,0.012719053710180877,0.0,15030,"[0.05, 0.317425, 14.02777]"
RS-EAO,spring,2029,0.012710306634283184,0.0,15030,"[0.053281, 0.396231, 9.299706]"
RS-EAO,spring,2030,0.01266544775845911,0.0,15030,"[0.051798, 0.359337, 11.137016]"
RS-EAO,spring,2031,0.012665957234400796,0.0,15030,"[0.05149, 0.351951, 11.573967]"
RS-EAO,spring,2032,0.012675905708803866,0.0,15030,"[0.052456, 0.375456, 10.269425]"
RS-EAO,spring,2033,0.012665667762015286,0.0,15030,"[0.051844, 0.360449, 11.073507]"
RS-EAO,spring,2034,0.012665574391515647,0.0,15030,"[0.051552, 0.353439, 11.483806]"
RS-EAO,spring,2035,0.012665232788619925,0.0,15030,"[0.051689, 0.356715, 11.289147]"
RS-EAO,spring,2036,0.012719053710180861,0.0,15030,"[0.05, 0.317425, 14.02777]"
RS-EAO,spring,2037,0.012719053710180877,0.0,15030,"[0.05, 0.317425, 14.02777]"
RS-EAO,spring,2038,0.012667204710768772,0.0,15030,"[0.051361, 0.348888, 11.763184]"
RS-EAO,spring,2039,0.012665251307674801,0.0,15030,"[0.051657, 0.355955, 11.333815]"
RS-EAO,spring,2040,0.012665255055366496,0.0,15030,"[0.051656, 0.355933, 11.335103]"
RS-EAO,spring,2041,0.012719053710180872,0.0,15030,"[0.05, 0.317425, 14.02777]"
RS-EAO,spring,2042,0.012719053710180858,0.0,15030,"[0.05, 0.317425, 14.02777]"
RS-EAO,spring,2043,0.012665232789104365,0.0,15030,"[0.051689, 0.356722, 11.288741]"
RS-EAO,spring,2044,0.012719053710180858,0.0,15030,"[0.05, 0.317425, 14.02777]"
RS-EAO,spring,2045,0.012665488366087623,0.0,15030,"[0.051807, 0.359565, 11.12399]"
RS-EAO,spring,2046,0.012665233005208226,0.0,15030,"[0.051692, 0.3568, 11.284159]"
RS-EAO,spring,2047,0.012665236822723712,0.0,15030,"[0.051674, 0.356361, 11.30993]"
RS-EAO,spring,2048,0.012665268141684024,0.0,15030,"[0.051645, 0.355664, 11.351014]"
RS-EAO,spring,2049,0.012719053710180877,0.0,15030,"[0.05, 0.317425, 14.02777]"
RS-EAO,spring,2050,0.012665499536407304,0.0,15030,"[0.051569, 0.353835, 11.459984]"
RS-EAO,spring,2051,0.01266687719144816,0.0,15030,"[0.051393, 0.349641, 11.716293]"
RS-EAO,spring,2052,0.01266523559136271,0.0,15030,"[0.051701, 0.357015, 11.271561]"
RS-EAO,spring,2053,0.012674606854925705,0.0,15030,"[0.052406, 0.374199, 10.333241]"
RS-EAO,spring,2054,0.012665386036421391,0.0,15030,"[0.05178, 0.358908, 11.161681]"
RS-EAO,spring,2055,0.017773158078158706,0.0,15030,"[0.068994, 0.933432, 2.0]"
AS-ABMO,spring,2026,0.012718541617861326,0.0,15030,"[0.050008, 0.317603, 14.013091]"
AS-ABMO,spring,2027,0.012734541002815082,0.0,15030,"[0.053668, 0.406227, 8.883778]"
AS-ABMO,spring,2028,0.012714204856709235,0.0,15030,"[0.050077, 0.319148, 13.886534]"
AS-ABMO,spring,2029,0.012726614805899032,0.0,15030,"[0.05355, 0.40316, 9.008227]"
AS-ABMO,spring,2030,0.012685978325740076,0.0,15030,"[0.05172, 0.357087, 11.281045]"
AS-ABMO,spring,2031,0.012830877613338771,0.0,15030,"[0.054769, 0.435443, 7.823179]"
AS-ABMO,spring,2032,0.0139481366892866,0.0,15030,"[0.060295, 0.600022, 4.394275]"
AS-ABMO,spring,2033,0.012913710351011794,0.0,15030,"[0.055475, 0.454831, 7.22575]"
AS-ABMO,spring,2034,0.012707293628519883,0.0,15030,"[0.050253, 0.323081, 13.574821]"
