t,AF,S,fed,seed,curve,variant
99,0.1703607211350867,0.48698976697043583,0,1003,1906.9219584591574,EAO+M1
100,0.17503686435105814,0.47130822338908884,0,1003,1906.9219584591574,EAO+M1
101,0.18066628122665462,0.45350671592418024,0,1003,1906.9219584591574,EAO+M1
102,0.18716001787509595,0.4343021502954574,0,1003,1906.9219584591574,EAO+M1
103,0.20073818942554367,0.3981613129328902,0,1003,1906.9219584591574,EAO+M1
104,0.20825217481735536,0.3801870620928861,0,1003,1906.9219584591574,EAO+M1
105,0.21139559102842054,0.3730467627707324,0,1003,1906.9219584591574,EAO+M1
106,0.2184005785717853,0.35787424490330005,0,1003,1906.9219584591574,EAO+M1
107,0.2237498169436446,0.3469277399462041,0,1003,1906.9219584591574,EAO+M1
108,0.23900157981319026,0.31840727612831077,0,1003,1906.9219584591574,EAO+M1
109,0.24742962240913036,0.3041553271849067,0,1003,1906.9219584591574,EAO+M1
110,0.25472007790075657,0.29258781963376196,0,1003,1650.906926556735,EAO+M1
111,0.2671166849451039,0.27436822795457866,0,1003,1611.1310384260796,EAO+M1
112,0.2789334787806794,0.2585084172654236,0,1003,1306.1586976598387,EAO+M1
113,0.28958693635235866,0.24531944451500978,0,1003,1306.1586976598387,EAO+M1
114,0.29490506346184764,0.23909217707595315,0,1003,1221.598411486868,EAO+M1
115,0.30459917220402344,0.22830030126614748,0,1003,919.0158934700507,EAO+M1
116,0.32675107785881385,0.2060433668812841,0,1003,919.0158934700507,EAO+M1
117,0.34558001103320746,0.18936858848120938,0,1003,919.0158934700507,EAO+M1
118,0.35908008986011974,0.1784894034056725,0,1003,633.6507745460622,EAO+M1
119,0.382498787429162,0.16143873728885955,0,1003,521.5571520816052,EAO+M1
120,0.3856026748358671,0.15933430063099352,0,1003,402.4845249561595,EAO+M1
121,0.40220329155707446,0.14863048637136667,0,1003,402.4845249561595,EAO+M1
122,0.42778879478104803,0.1337602134978366,0,1003,176.8117700437133,EAO+M1
123,0.45139588943573905,0.12153502577306047,0,1003,176.8117700437133,EAO+M1
124,0.47337072873392383,0.11125091588882091,0,1003,176.8117700437133,EAO+M1
125,0.4926996431666213,0.10296341064363626,0,1003,176.8117700437133,EAO+M1
126,0.51227949126305,0.09520594071303765,0,1003,176.8117700437133,EAO+M1
127,0.5559840064290135,0.07986128889261086,0,1003,160.0102340602091,EAO+M1
128,0.5861061976025277,0.07061754407145128,0,1003,159.38789673617703,EAO+M1
129,0.6162671122278109,0.06226729938337798,0,1003,132.4176821464439,EAO+M1
130,0.6602086144220193,0.05146727536650694,0,1003,105.32651727158873,EAO+M1
131,0.6808554912711338,0.04687404490680313,0,1003,105.32651727158873,EAO+M1
132,0.7254857619769239,0.037838680289883866,0,1003,94.47214187600025,EAO+M1
133,0.745398236277129,0.03415647520102443,0,1003,68.49894237996978,EAO+M1
134,0.7705154309393508,0.029783254149872106,0,1003,62.86723200055576,EAO+M1
135,0.7969317733823332,0.025481256162720914,0,1003,60.56654388922357,EAO+M1
136,0.8140763045262114,0.02283860793393259,0,1003,56.46757454217254,EAO+M1
137,0.8277562900887396,0.020808505108767573,0,1003,51.92579482179963,EAO+M1
138,0.8369131365291448,0.019486713298253487,0,1003,44.354010808944395,EAO+M1
139,0.8526665113591412,0.017279145677483072,0,1003,43.94240403672575,EAO+M1
140,0.8573279276767884,0.016641481948433474,0,1003,39.182778860138114,EAO+M1
141,0.8829139109071973,0.013261325667923431,0,1003,36.424841240951764,EAO+M1
