alg,fid,dim,seed,f,err,nfe
RS-EAO,12,10,2045,2865.4268368373314,165.4268368373314,15030
RS-EAO,12,10,2046,2867.446841931145,167.44684193114517,15030
RS-EAO,12,10,2047,2865.4973825094544,165.49738250945438,15030
RS-EAO,12,10,2048,2872.877044038063,172.8770440380631,15030
RS-EAO,12,10,2049,2864.0151840230415,164.01518402304146,15030
RS-EAO,12,10,2050,2866.447047151691,166.4470471516911,15030
RS-EAO,12,10,2051,2866.7633618443574,166.7633618443574,15030
RS-EAO,12,10,2052,2866.4491209988882,166.44912099888825,15030
RS-EAO,12,10,2053,2866.4229085652814,166.42290856528143,15030
RS-EAO,12,10,2054,2863.770205611842,163.7702056118419,15030
RS-EAO,12,10,2055,2864.8981385445954,164.89813854459544,15030
AS-ABMO,4,10,2026,844.0,44.0,15030
AS-ABMO,4,10,2027,872.0,72.0,15030
AS-ABMO,4,10,2028,838.0,38.0,15030
AS-ABMO,4,10,2029,870.0,70.0,15030
AS-ABMO,4,10,2030,848.0,48.0,15030
AS-ABMO,4,10,2031,826.0,26.0,15030
AS-ABMO,4,10,2032,848.0,48.0,15030
AS-ABMO,4,10,2033,810.0,10.0,15030
AS-ABMO,4,10,2034,866.0,66.0,15030
AS-ABMO,4,10,2035,820.0,20.0,15030
AS-ABMO,4,10,2036,852.0000000000437,52.000000000043656,15030
AS-ABMO,4,10,2037,836.0,36.0,15030
AS-ABMO,4,10,2038,845.1021527696905,45.10215276969052,15030
AS-ABMO,4,10,2039,842.0,42.0,15030
AS-ABMO,4,10,2040,836.0,36.0,15030
AS-ABMO,4,10,2041,844.0,44.0,15030
AS-ABMO,4,10,2042,854.0,54.0,15030
AS-ABMO,4,10,2043,832.0,32.0,15030
AS-ABMO,4,10,2044,842.0,42.0,15030
AS-ABMO,4,10,2045,816.0,16.0,15030
AS-ABMO,4,10,2046,894.0,94.0,15030
AS-ABMO,4,10,2047,852.0000000000008,52.000000000000796,15030
AS-ABMO,4,10,2048,848.0,48.0,15030
AS-ABMO,4,10,2049,864.0,64.0,15030
AS-ABMO,4,10,2050,846.0000000000223,46.00000000002228,15030
AS-ABMO,4,10,2051,858.0,58.0,15030
AS-ABMO,4,10,2052,838.0,38.0,15030
AS-ABMO,4,10,2053,836.0,36.0,15030
AS-ABMO,4,10,2054,842.0000000000001,42.000000000000114,15030
AS-ABMO,4,10,2055,828.0,28.0,15030
AS-ABMO,6,10,2026,13151.474865062024,11351.474865062024,15030
AS-ABMO,6,10,2027,11760.543500243832,9960.543500243832,15030
